OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,x,y
191,0.130932637664,0.000688460603185,Queens Village,191,Queens,-73.74153176997537,40.715454515305204
192,0.11196461971,0.000373808019026,Queensboro Hill,192,Queens,-73.81522935845767,40.74375148543156
193,0.0655299584801,0.000145591657944,Queensbridge/Ravenswood,193,Queens,-73.94199705818419,40.76031363502696
194,0.0817938353532,0.000273481702719,Randalls Island,194,Manhattan,-73.92459630024567,40.79100078171126
195,0.131308244067,0.000801651953985,Red Hook,195,Brooklyn,-74.00917849113318,40.67554886228091
196,0.0832421106332,0.0001974713336,Rego Park,196,Queens,-73.86333855806276,40.726155639579225
197,0.108568532229,0.000504689160432,Richmond Hill,197,Queens,-73.83092407449995,40.69454235438128
198,0.134094242763,0.000499809882564,Ridgewood,198,Queens,-73.9017092644472,40.70652679441957
199,0.0778085005169,0.000288747549303,Rikers Island,199,Bronx,-73.88265824700588,40.79113290307751
200,0.112661735435,0.000744643168558,Riverdale/North Riverdale/Fieldston,200,Bronx,-73.9069871077142,40.899529064376466
201,0.130404117686,0.000619350747819,Rockaway Park,201,Queens,-73.84345281477822,40.57798249377507
202,0.0699215712618,0.000106175396322,Roosevelt Island,202,Manhattan,-73.94995171169585,40.76189974995509
203,0.189937815868,0.000615129861659,Rosedale,203,Queens,-73.73947255987298,40.65785341801943
204,0.101912418311,0.000641384265972,Rossville/Woodrow,204,Staten Island,-74.20782608356562,40.540334005296074
205,0.141953388327,0.000766216513505,Saint Albans,205,Queens,-73.76314612543833,40.691201446806154
206,0.212756793386,0.000944392507762,Saint George/New Brighton,206,Staten Island,-74.10231250352726,40.638972205166446
207,0.0283756831492,4.47230848441e-05,Saint Michaels Cemetery/Woodside,207,Queens,-73.89935256434536,40.76398558883053
208,0.214721009581,0.00202032598969,Schuylerville/Edgewater Park,208,Bronx,-73.82354011891934,40.8233185838775
209,0.0306953113473,3.88703351209e-05,Seaport,209,Manhattan,-74.00366456329894,40.709072742793076
210,0.114851983372,0.000453155131253,Sheepshead Bay,210,Brooklyn,-73.94050716694062,40.59202346436426
211,0.0252345082132,3.97291966087e-05,SoHo,211,Manhattan,-74.00153756565634,40.72388811004175
212,0.0671290653429,0.000161276191858,Soundview/Bruckner,212,Bronx,-73.86967965711672,40.8279021485874
213,0.159958783822,0.000904077906339,Soundview/Castle Hill,213,Bronx,-73.85813498781427,40.81785855770813
214,0.135300314246,0.000811976523012,South Beach/Dongan Hills,214,Staten Island,-74.08551235826928,40.58678663305194
215,0.103556453625,0.000395647022725,South Jamaica,215,Queens,-73.79096393223053,40.69442755408878
216,0.116797554681,0.000816076647781,South Ozone Park,216,Queens,-73.81945963682767,40.67615403721384
217,0.0553905251285,0.000114733270758,South Williamsburg,217,Brooklyn,-73.95859684507164,40.70391644046576
218,0.0837008281049,0.000281293736407,Springfield Gardens North,218,Queens,-73.77303565610495,40.67208970676736
219,0.155126669675,0.000428176336771,Springfield Gardens South,219,Queens,-73.76450578558233,40.66218488071144
220,0.106015943267,0.000313035744467,Spuyten Duyvil/Kingsbridge,220,Bronx,-73.9106646756443,40.88240311320918
221,0.166218220846,0.000890111567051,Stapleton,221,Staten Island,-74.07370444530252,40.618769278732046
222,0.0483893527976,0.000130268343918,Starrett City,222,Brooklyn,-73.88241292571804,40.647527034323566
223,0.166021925275,0.00076436070058,Steinway,223,Queens,-73.90540773409828,40.77742692053275
224,0.0440204462769,9.84786989135e-05,Stuy Town/Peter Cooper Village,224,Manhattan,-73.97659767323339,40.731820636016785
225,0.0887992073281,0.000310835395162,Stuyvesant Heights,225,Brooklyn,-73.93188826440705,40.68816818695494
226,0.168957762041,0.00076194414504,Sunnyside,226,Queens,-73.9246730658505,40.73769895644439
227,0.0828301570789,0.000268316529534,Sunset Park East,227,Brooklyn,-74.00465205914728,40.64188631576522
228,0.177685177706,0.000993414783816,Sunset Park West,228,Brooklyn,-74.01127116962897,40.65235464953846
229,0.0425252900116,9.47058230931e-05,Sutton Place/Turtle Bay North,229,Manhattan,-73.96514579918423,40.75672894163307
230,0.0310283096779,5.60914463266e-05,Times Sq/Theatre District,230,Manhattan,-73.98419648907567,40.759817617191835
231,0.0634201165587,0.000166929752992,TriBeCa/Civic Center,231,Manhattan,-74.00787970866403,40.717772736265175
232,0.0614709085331,0.000216049973456,Two Bridges/Seward Park,232,Manhattan,-73.98302455833492,40.71473250693941
233,0.048035918294,0.000116188094682,UN/Turtle Bay South,233,Manhattan,-73.97044256869235,40.74991407790215
234,0.0360721994984,7.31054382894e-05,Union Sq,234,Manhattan,-73.99045782354735,40.74033744175702
235,0.0761668426519,0.000212844547337,University Heights/Morris Heights,235,Bronx,-73.9159754246645,40.852521149263545
236,0.0442519223099,0.000102864345211,Upper East Side North,236,Manhattan,-73.9570116983574,40.78043643718996
237,0.0422126003388,9.59873206621e-05,Upper East Side South,237,Manhattan,-73.9656345353807,40.76861518381156
238,0.0601093114033,0.000184763693765,Upper West Side North,238,Manhattan,-73.97304890061594,40.791704934427074
239,0.0636261152958,0.000204715440774,Upper West Side South,239,Manhattan,-73.97863194845081,40.78396143031376
240,0.146069764379,0.000722130920707,Van Cortlandt Park,240,Bronx,-73.88197807761944,40.894599127507014
241,0.0687645777649,0.00025467697592,Van Cortlandt Village,241,Bronx,-73.89562001785487,40.876512375445536
242,0.138136446433,0.000360072450014,Van Nest/Morris Park,242,Bronx,-73.8506705770834,40.846782895809845
243,0.0943314999364,0.000438377341503,Washington Heights North,243,Manhattan,-73.93283148761283,40.85710828331433
244,0.0805686044599,0.000359702747951,Washington Heights South,244,Manhattan,-73.9413991057364,40.84170877111966
245,0.0959830596604,0.000466175414294,West Brighton,245,Staten Island,-74.1028601101664,40.63004939183068
246,0.0694671937437,0.000281298327076,West Chelsea/Hudson Yards,246,Manhattan,-74.00401512528674,40.75330906598342
247,0.0929678582271,0.000205617157843,West Concourse,247,Bronx,-73.92440873264249,40.82898823048455
248,0.0569191167671,0.000149592769799,West Farms/Bronx River,248,Bronx,-73.87228927297005,40.83416531682764
249,0.03638434365,7.22155957729e-05,West Village,249,Manhattan,-74.00287495910834,40.73457600733173
250,0.0796263465454,0.000240975845956,Westchester Village/Unionport,250,Bronx,-73.84864070062376,40.832101659632144
251,0.1377111611,0.000625754983157,Westerleigh,251,Staten Island,-74.12534779829352,40.61688000771182
252,0.158004373564,0.00102526406057,Whitestone,252,Queens,-73.81565681271016,40.78819301672901
253,0.0360514998192,7.83395761191e-05,Willets Point,253,Queens,-73.84124393899137,40.760630752172595
254,0.0858863754861,0.000360040216032,Williamsbridge/Olinville,254,Bronx,-73.85894823975751,40.88215708304704
255,0.0623841997664,0.000172309184842,Williamsburg (North Side),255,Brooklyn,-73.95741813122191,40.71880391812991
256,0.0679149669603,0.000168611097013,Williamsburg (South Side),256,Brooklyn,-73.95990462730529,40.7108799333774
257,0.0586690259793,0.00013890947321,Windsor Terrace,257,Brooklyn,-73.97798241330017,40.653611871336615
258,0.0890133787693,0.000366209617143,Woodhaven,258,Queens,-73.85576675985425,40.688721356981304
259,0.126750305191,0.000394552487366,Woodlawn/Wakefield,259,Bronx,-73.8522154537012,40.897932025294715
260,0.133514154636,0.000422345326907,Woodside,260,Queens,-73.90630644197886,40.74423471780149
261,0.0271204563616,3.43423231652e-05,World Trade Center,261,Manhattan,-74.01302277174901,40.70913894067186
262,0.0490636231541,0.000122330270966,Yorkville East,262,Manhattan,-73.94651035601467,40.77593240314995
263,0.0370166252994,6.57697664169e-05,Yorkville West,263,Manhattan,-73.951009874818,40.77876585543437
